feat0,feat1,feat2,depth,distance,MMAP
daisy,edge,res,10,d1,nan
daisy,edge,res,5,d1,nan
daisy,edge,res,3,d1,nan
daisy,edge,res,1,d1,nan
daisy,gabor,hog,None,d1,nan
daisy,gabor,hog,300,d1,nan
daisy,gabor,hog,200,d1,nan
daisy,gabor,hog,100,d1,nan
daisy,gabor,hog,50,d1,nan
daisy,gabor,hog,30,d1,nan
daisy,gabor,hog,10,d1,nan
daisy,gabor,hog,5,d1,nan
daisy,gabor,hog,3,d1,nan
daisy,gabor,hog,1,d1,nan
daisy,gabor,vgg,None,d1,nan
daisy,gabor,vgg,300,d1,nan
daisy,gabor,vgg,200,d1,nan
daisy,gabor,vgg,100,d1,nan
daisy,gabor,vgg,50,d1,nan
daisy,gabor,vgg,30,d1,nan
daisy,gabor,vgg,10,d1,nan
daisy,gabor,vgg,5,d1,nan
daisy,gabor,vgg,3,d1,nan
daisy,gabor,vgg,1,d1,nan
daisy,gabor,res,None,d1,nan
daisy,gabor,res,300,d1,nan
daisy,gabor,res,200,d1,nan
daisy,gabor,res,100,d1,nan
daisy,gabor,res,50,d1,nan
daisy,gabor,res,30,d1,nan
daisy,gabor,res,10,d1,nan
daisy,gabor,res,5,d1,nan
daisy,gabor,res,3,d1,nan
daisy,gabor,res,1,d1,nan
daisy,hog,vgg,None,d1,nan
daisy,hog,vgg,300,d1,nan
daisy,hog,vgg,200,d1,nan
daisy,hog,vgg,100,d1,nan
daisy,hog,vgg,50,d1,nan
daisy,hog,vgg,30,d1,nan
daisy,hog,vgg,10,d1,nan
daisy,hog,vgg,5,d1,nan
daisy,hog,vgg,3,d1,nan
daisy,hog,vgg,1,d1,nan
daisy,hog,res,None,d1,nan
daisy,hog,res,300,d1,nan
daisy,hog,res,200,d1,nan
daisy,hog,res,100,d1,nan
daisy,hog,res,50,d1,nan
daisy,hog,res,30,d1,nan
daisy,hog,res,10,d1,nan
daisy,hog,res,5,d1,nan
daisy,hog,res,3,d1,nan
daisy,hog,res,1,d1,nan
daisy,vgg,res,None,d1,nan
daisy,vgg,res,300,d1,nan
daisy,vgg,res,200,d1,nan
daisy,vgg,res,100,d1,nan
daisy,vgg,res,50,d1,nan
daisy,vgg,res,30,d1,nan
daisy,vgg,res,10,d1,nan
daisy,vgg,res,5,d1,nan
daisy,vgg,res,3,d1,nan
daisy,vgg,res,1,d1,nan
edge,gabor,hog,None,d1,nan
edge,gabor,hog,300,d1,nan
edge,gabor,hog,200,d1,nan
edge,gabor,hog,100,d1,nan
edge,gabor,hog,50,d1,nan
edge,gabor,hog,30,d1,nan
edge,gabor,hog,10,d1,nan
edge,gabor,hog,5,d1,nan
edge,gabor,hog,3,d1,nan
edge,gabor,hog,1,d1,nan
edge,gabor,vgg,None,d1,nan
edge,gabor,vgg,300,d1,nan
edge,gabor,vgg,200,d1,nan
edge,gabor,vgg,100,d1,nan
edge,gabor,vgg,50,d1,nan
edge,gabor,vgg,30,d1,nan
edge,gabor,vgg,10,d1,nan
edge,gabor,vgg,5,d1,nan
edge,gabor,vgg,3,d1,nan
edge,gabor,vgg,1,d1,nan
edge,gabor,res,None,d1,nan
edge,gabor,res,300,d1,nan
edge,gabor,res,200,d1,nan
edge,gabor,res,100,d1,nan
edge,gabor,res,50,d1,nan
edge,gabor,res,30,d1,nan
edge,gabor,res,10,d1,nan
edge,gabor,res,5,d1,nan
edge,gabor,res,3,d1,nan
edge,gabor,res,1,d1,nan
edge,hog,vgg,None,d1,nan
edge,hog,vgg,300,d1,nan
edge,hog,vgg,200,d1,nan
edge,hog,vgg,100,d1,nan
edge,hog,vgg,50,d1,nan
edge,hog,vgg,30,d1,nan
edge,hog,vgg,10,d1,nan
edge,hog,vgg,5,d1,nan
edge,hog,vgg,3,d1,nan
edge,hog,vgg,1,d1,nan
edge,hog,res,None,d1,nan
